Unique Key,Created Date Year,Created Date Month,Created Date Day,Created Date Time Of Day,Closed Date Year,Closed Date Month,Closed Date Day,Closed Date Time Of Day,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date Year,Resolution Action Updated Date Month,Resolution Action Updated Date Day,Resolution Action Updated Date Time Of Day,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
46056811,2020,April,Night,1,2020,April,Night,2,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208.0,375 ESSEX STREET,ESSEX STREET,GLENMORE AVENUE,PITKIN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,nan,BROOKLYN,ESSEX STREET,nan,Closed,nan,The Police Department issued a summons in response to the complaint.,2020,April,Night,6,05 BROOKLYN,3040040007.0,BROOKLYN,1017013.0,185133.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.67476344508898,-73.88188648784059,"(40.67476344508898, -73.8818864878406)"
46684920,2020,June,Night,19,2020,June,Night,13,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11205.0,190 CARLTON AVENUE,CARLTON AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,nan,BROOKLYN,CARLTON AVENUE,nan,Closed,nan,The Department of Parks and Recreation visited the location but could not find the tree condition you reported.,2020,June,Night,17,02 BROOKLYN,3020720047.0,BROOKLYN,991834.0,191438.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.692126610735976,-73.97265189728215,"(40.69212661073598, -73.97265189728216)"
46684922,2020,June,Night,20,2020,July,Morning,18,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11229.0,3035 AVENUE T,AVENUE T,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,nan,BROOKLYN,AVENUE T,nan,Closed,nan,The Department of Parks and Recreation performed the work necessary to correct the condition.,2020,July,Morning,22,15 BROOKLYN,3073130032.0,BROOKLYN,1001442.0,159028.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.603154755937005,-73.93808780844145,"(40.60315475593701, -73.93808780844145)"
46684923,2020,June,Night,19,2020,July,Morning,18,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11234.0,1593 EAST   34 STREET,EAST   34 STREET,AVENUE N,AVENUE P,AVENUE N,AVENUE P,nan,BROOKLYN,EAST   34 STREET,nan,Closed,nan,The Department of Parks and Recreation performed the work necessary to correct the condition.,2020,July,Morning,22,18 BROOKLYN,3076960025.0,BROOKLYN,1000616.0,163788.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.61622153979992,-73.94105088038206,"(40.61622153979992, -73.94105088038206)"
47904684,2020,October,Evening,22,2020,October,Evening,22,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459.0,1272 UNION AVENUE,UNION AVENUE,BEND,RITTER PLACE,BEND,RITTER PLACE,nan,BRONX,UNION AVENUE,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,2,03 BRONX,2029680029.0,BRONX,1012298.0,241930.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.830672860262034,-73.8986475524982,"(40.830672860262034, -73.8986475524982)"
47904692,2020,October,Evening,17,2020,October,Evening,17,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031.0,3654 BROADWAY,BROADWAY,WEST  150 STREET,WEST  151 STREET,WEST  150 STREET,WEST  151 STREET,nan,NEW YORK,BROADWAY,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,21,09 MANHATTAN,1020820060.0,MANHATTAN,998701.0,241699.0,MOBILE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.83007154537897,-73.94778127701619,"(40.83007154537897, -73.94778127701618)"
47904693,2020,October,Evening,17,2020,October,Evening,18,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10025.0,860 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,nan,NEW YORK,COLUMBUS AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,22,07 MANHATTAN,1018550001.0,MANHATTAN,994024.0,229558.0,MOBILE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.79675430466696,-73.96469930513942,"(40.796754304666955, -73.96469930513942)"
47904694,2020,October,Evening,4,2020,October,Evening,4,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211.0,340 SOUTH    3 STREET,SOUTH    3 STREET,KEAP STREET,HOOPER STREET,KEAP STREET,HOOPER STREET,nan,BROOKLYN,SOUTH    3 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,8,01 BROOKLYN,3024370011.0,BROOKLYN,997096.0,197686.0,MOBILE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.70926983334067,-73.95366507264255,"(40.70926983334067, -73.95366507264255)"
47904696,2020,October,Evening,15,2020,October,Evening,15,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019.0,500 WEST   52 STREET,WEST   52 STREET,10 AVENUE,11 AVENUE,10 AVENUE,11 AVENUE,nan,NEW YORK,WEST   52 STREET,nan,Closed,nan,The Police Department responded to the complaint and determined that police action was not necessary.,2020,October,Evening,19,04 MANHATTAN,1010800028.0,MANHATTAN,986743.0,218342.0,MOBILE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.76597441219084,-73.9910002088816,"(40.765974412190836, -73.99100020888159)"
47904697,2020,October,Evening,0,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10034.0,242 DYCKMAN STREET,DYCKMAN STREET,SEAMAN AVENUE,PAYSON AVENUE,SEAMAN AVENUE,PAYSON AVENUE,nan,NEW YORK,DYCKMAN STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,5,12 MANHATTAN,1022460065.0,MANHATTAN,1004118.0,254894.0,MOBILE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.8662773906247,-73.9281678431172,"(40.8662773906247, -73.92816784311718)"
47904698,2020,October,Evening,21,2020,October,Evening,21,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11357.0,146-40 20 ROAD,20 ROAD,146 STREET,147 STREET,146 STREET,147 STREET,nan,WHITESTONE,20 ROAD,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,1,07 QUEENS,4046330022.0,QUEENS,1034041.0,223881.0,ONLINE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.78103762230396,-73.8202124807697,"(40.781037622303955, -73.82021248076971)"
47904699,2020,October,Evening,23,2020,October,Evening,23,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031.0,628V WEST  151 STREET,WEST  151 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,nan,NEW YORK,WEST  151 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,3,09 MANHATTAN,nan,MANHATTAN,998537.0,241855.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.830499987402675,-73.94837355904271,"(40.83049998740267, -73.9483735590427)"
47904701,2020,October,Evening,18,2020,October,Evening,18,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029.0,168 EAST  105 STREET,EAST  105 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,nan,NEW YORK,EAST  105 STREET,nan,Closed,nan,The Police Department responded to the complaint and determined that police action was not necessary.,2020,October,Evening,22,11 MANHATTAN,1016320044.0,MANHATTAN,999192.0,227556.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.79125212962297,-73.94603852985273,"(40.79125212962297, -73.94603852985273)"
47904702,2020,October,Evening,13,2020,October,Evening,14,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452.0,1350 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST  170 STREET,EDWARD L GRANT HIGHWAY,WEST  170 STREET,EDWARD L GRANT HIGHWAY,nan,BRONX,SHAKESPEARE AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,18,04 BRONX,2025200001.0,BRONX,1005761.0,245537.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.840591368987496,-73.92225765299706,"(40.84059136898749, -73.92225765299706)"
47904703,2020,October,Evening,1,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432.0,87-20 175 STREET,175 STREET,WARWICK CRESCENT,88 AVENUE,WARWICK CRESCENT,88 AVENUE,nan,JAMAICA,175 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,5,12 QUEENS,4098300035.0,QUEENS,1043128.0,198505.0,ONLINE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.71133121438496,-73.78762301365029,"(40.711331214384956, -73.7876230136503)"
47904704,2020,October,Evening,0,2020,October,Evening,0,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003.0,202 EAST   13 STREET,EAST   13 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,nan,NEW YORK,EAST   13 STREET,nan,Closed,nan,The Police Department reviewed your complaint and provided additional information below.,2020,October,Evening,4,03 MANHATTAN,1004680007.0,MANHATTAN,987765.0,206125.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.73244147953356,-73.98731714946315,"(40.73244147953356, -73.98731714946315)"
47904705,2020,October,Evening,22,2020,October,Evening,23,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222.0,111 GREENPOINT AVENUE,GREENPOINT AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,nan,BROOKLYN,GREENPOINT AVENUE,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,3,01 BROOKLYN,3025580064.0,BROOKLYN,996524.0,205263.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.73006768331117,-73.95571443293551,"(40.73006768331117, -73.95571443293552)"
47904707,2020,October,Evening,22,2020,October,Evening,23,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222.0,101A INDIA STREET,INDIA STREET,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,nan,BROOKLYN,INDIA STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,3,01 BROOKLYN,3025320062.0,BROOKLYN,996368.0,206030.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.73217312520347,-73.95627591189042,"(40.73217312520348, -73.95627591189042)"
47904708,2020,October,Evening,1,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009.0,120 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,nan,NEW YORK,ST MARKS PLACE,nan,Closed,nan,The Police Department reviewed your complaint and provided additional information below.,2020,October,Evening,5,03 MANHATTAN,1004350024.0,MANHATTAN,988535.0,204240.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.72726727608739,-73.98454002987009,"(40.72726727608739, -73.98454002987009)"
47904709,2020,October,Evening,1,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10471.0,237 WEST  259 STREET,WEST  259 STREET,POST ROAD,HUXLEY AVENUE,POST ROAD,HUXLEY AVENUE,nan,BRONX,WEST  259 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,5,08 BRONX,2058650490.0,BRONX,1012425.0,269521.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.906401282764506,-73.89807262264691,"(40.90640128276451, -73.8980726226469)"
47904710,2020,October,Evening,20,2020,October,Evening,20,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002.0,277 SOUTH STREET,SOUTH STREET,RUTGERS SLIP,CLINTON STREET,RUTGERS SLIP,CLINTON STREET,nan,NEW YORK,SOUTH STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,0,03 MANHATTAN,nan,MANHATTAN,987727.0,198086.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.71037638054045,-73.98745841429886,"(40.71037638054045, -73.98745841429886)"
47904712,2020,October,Evening,12,2020,October,Evening,13,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002.0,38 JEFFERSON STREET,JEFFERSON STREET,HENRY STREET,MADISON STREET,HENRY STREET,MADISON STREET,nan,NEW YORK,JEFFERSON STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,17,03 MANHATTAN,1002710046.0,MANHATTAN,987430.0,199040.0,MOBILE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.712994995344545,-73.98852924666843,"(40.71299499534455, -73.98852924666843)"
47904717,2020,October,Evening,1,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026.0,120 WEST  112 STREET,WEST  112 STREET,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,nan,NEW YORK,WEST  112 STREET,nan,Closed,nan,The Police Department responded to the complaint and determined that police action was not necessary.,2020,October,Evening,5,10 MANHATTAN,1018210049.0,MANHATTAN,997240.0,230777.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.80009598474589,-73.95308174181605,"(40.80009598474589, -73.95308174181604)"
47904718,2020,October,Evening,0,2020,October,Evening,1,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456.0,EAST  163 STREET,EAST  163 STREET,EAST  163 STREET,3 AVENUE,EAST  163 STREET,3 AVENUE,nan,nan,nan,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,5,03 BRONX,nan,BRONX,1009516.0,239520.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.82406649807905,-73.90870947674777,"(40.82406649807905, -73.90870947674776)"
47904719,2020,October,Evening,21,2020,October,Evening,22,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238.0,51 CLIFTON PLACE,CLIFTON PLACE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,nan,BROOKLYN,CLIFTON PLACE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,2,02 BROOKLYN,3019480063.0,BROOKLYN,994802.0,189905.0,MOBILE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.6879158380054,-73.96195161380744,"(40.68791583800541, -73.96195161380743)"
47904720,2020,October,Evening,21,2020,October,Evening,22,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10025.0,1 WEST  108 STREET,WEST  108 STREET,CENTRAL PARK WEST,MANHATTAN AVENUE,CENTRAL PARK WEST,MANHATTAN AVENUE,nan,NEW YORK,WEST  108 STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,2,07 MANHATTAN,1018447501.0,MANHATTAN,995521.0,230541.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.79945058914684,-73.95929095037171,"(40.799450589146836, -73.95929095037171)"
47904721,2020,October,Evening,11,2020,October,Evening,15,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10303.0,182 SOUTH AVENUE,SOUTH AVENUE,ARLINGTON PLACE,STATEN ISLAND RAILWAY LINE,ARLINGTON PLACE,STATEN ISLAND RAILWAY LINE,nan,STATEN ISLAND,SOUTH AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,19,01 STATEN ISLAND,5012660053.0,STATEN ISLAND,938116.0,170781.0,ONLINE,Unspecified,STATEN ISLAND,nan,nan,nan,nan,nan,nan,nan,40.63531083165393,-74.16621887171344,"(40.63531083165392, -74.16621887171343)"
47904722,2020,October,Evening,20,2020,October,Evening,21,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10026.0,203 WEST  114 STREET,WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,nan,NEW YORK,WEST  114 STREET,nan,Closed,nan,The Police Department responded and upon arrival those responsible for the condition were gone.,2020,October,Evening,1,10 MANHATTAN,1018300019.0,MANHATTAN,997013.0,231509.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.80210545504035,-73.95390024592206,"(40.80210545504034, -73.95390024592207)"
47904723,2020,October,Evening,17,2020,October,Evening,17,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10040.0,99 HILLSIDE AVENUE,HILLSIDE AVENUE,BEND,SICKLES STREET,BEND,SICKLES STREET,nan,NEW YORK,HILLSIDE AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,21,12 MANHATTAN,1021700140.0,MANHATTAN,1004433.0,252528.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.859782723203494,-73.92703609580742,"(40.85978272320349, -73.92703609580742)"
47904732,2020,October,Evening,15,2020,October,Evening,15,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466.0,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,nan,BRONX,EAST  230 STREET,nan,Closed,nan,The Police Department responded to the complaint and determined that police action was not necessary.,2020,October,Evening,19,12 BRONX,2048330028.0,BRONX,1022911.0,264242.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
48158346,2020,November,Afternoon,20,2020,November,Evening,11,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),nan,11691.0,313 BEACH   29 STREET,BEACH   29 STREET,SEAGIRT BLVD,DEERFIELD RD,nan,nan,ADDRESS,Far Rockaway,nan,nan,Closed,nan,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2020,November,Evening,11,14 QUEENS,4157970022.0,QUEENS,1050283.0,156655.0,PHONE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.596412036966186,-73.76222431428303,"(40.59641203696619, -73.76222431428303)"
